Prefix;Times;Long
0;21;1
2;6166;1
6;1;1
d;1;1
f;2;1
00;21;2
20;3011;2
24;409;2
26;337;2
28;2;2
2a;2407;2
6c;1;2
da;1;2
fe;2;2
000;21;3
200;3011;3
240;409;3
260;324;3
261;3;3
262;10;3
280;2;3
2a0;2407;3
6c6;1;3
da1;1;3
fe8;2;3
0000;21;4
2000;1;4
2001;2996;4
2002;10;4
2003;4;4
2400;388;4
2401;1;4
2403;9;4
2404;2;4
2405;1;4
2406;5;4
2407;1;4
2409;2;4
2600;35;4
2602;1;4
2604;27;4
2605;5;4
2607;256;4
2610;3;4
2620;10;4
2804;2;4
2a00;940;4
2a01;1239;4
2a02;97;4
2a03;98;4
2a04;5;4
2a05;26;4
2a06;2;4
6c69;1;4
da1e;1;4
fe80;2;4
0000:0;21;6
2000:1;1;6
2001:0;2653;6
2001:1;88;6
2001:4;254;6
2001:b;1;6
2002:0;2;6
2002:2;1;6
2002:5;5;6
2002:c;1;6
2002:d;1;6
2003:0;4;6
2400:8;7;6
2400:c;381;6
2401:2;1;6
2403:1;2;6
2403:3;6;6
2403:d;1;6
2404:6;1;6
2404:9;1;6
2405:4;1;6
2406:d;5;6
2407:e;1;6
2409:0;1;6
2409:8;1;6
2600:0;1;6
2600:2;1;6
2600:3;33;6
2602:f;1;6
2604:0;2;6
2604:3;3;6
2604:4;1;6
2604:5;1;6
2604:7;6;6
2604:8;1;6
2604:9;5;6
2604:a;8;6
2605:6;1;6
2605:8;1;6
2605:9;1;6
2605:d;1;6
2605:f;1;6
2607:1;6;6
2607:4;1;6
2607:5;8;6
2607:7;1;6
2607:f;240;6
2610:0;3;6
2620:0;10;6
2804:0;2;6
2a00:0;13;6
2a00:1;873;6
2a00:2;1;6
2a00:4;2;6
2a00:5;3;6
2a00:7;11;6
2a00:8;1;6
2a00:a;2;6
2a00:b;8;6
2a00:c;1;6
2a00:d;21;6
2a00:f;4;6
2a01:0;1209;6
2a01:4;2;6
2a01:5;5;6
2a01:6;1;6
2a01:7;18;6
2a01:a;2;6
2a01:b;1;6
2a01:c;1;6
2a02:0;47;6
2a02:1;4;6
2a02:2;28;6
2a02:7;5;6
2a02:8;1;6
2a02:a;1;6
2a02:c;8;6
2a02:d;1;6
2a02:e;2;6
2a03:0;1;6
2a03:2;44;6
2a03:3;5;6
2a03:4;22;6
2a03:5;1;6
2a03:6;9;6
2a03:8;7;6
2a03:9;2;6
2a03:b;3;6
2a03:c;2;6
2a03:e;2;6
2a04:0;1;6
2a04:4;1;6
2a04:7;1;6
2a04:c;1;6
2a04:d;1;6
2a05:0;1;6
2a05:2;1;6
2a05:3;1;6
2a05:8;1;6
2a05:d;22;6
2a06:1;2;6
6c69:6;1;6
da1e:2;1;6
fe80:0;2;6
0000:00;21;7
2000:1a;1;7
2001:00;1;7
2001:02;5;7
2001:04;60;7
2001:05;2;7
2001:06;52;7
2001:07;11;7
2001:08;2489;7
2001:09;3;7
2001:0a;5;7
2001:0b;20;7
2001:0d;1;7
2001:0e;4;7
2001:14;4;7
2001:15;2;7
2001:16;20;7
2001:18;5;7
2001:19;7;7
2001:1a;38;7
2001:1b;12;7
2001:40;10;7
2001:41;134;7
2001:44;1;7
2001:48;24;7
2001:4b;52;7
2001:4c;18;7
2001:4d;15;7
2001:b0;1;7
2002:00;2;7
2002:2e;1;7
2002:51;1;7
2002:52;1;7
2002:55;2;7
2002:5f;1;7
2002:c3;1;7
2002:d4;1;7
2003:00;4;7
2400:89;7;7
2400:cb;381;7
2401:25;1;7
2403:14;2;7
2403:3a;6;7
2403:d0;1;7
2404:68;1;7
2404:94;1;7
2405:42;1;7
2406:da;5;7
2407:e7;1;7
2409:00;1;7
2409:80;1;7
2600:0c;1;7
2600:20;1;7
2600:30;1;7
2600:3c;32;7
2602:ff;1;7
2604:01;1;7
2604:0a;1;7
2604:34;3;7
2604:43;1;7
2604:58;1;7
2604:7c;6;7
2604:88;1;7
2604:9a;5;7
2604:a8;8;7
2605:62;1;7
2605:80;1;7
2605:96;1;7
2605:d4;1;7
2605:f7;1;7
2607:1a;1;7
2607:1b;5;7
2607:4d;1;7
2607:53;7;7
2607:56;1;7
2607:71;1;7
2607:f0;7;7
2607:f1;188;7
2607:f2;32;7
2607:f3;2;7
2607:f5;1;7
2607:f7;2;7
2607:fa;1;7
2607:fc;3;7
2607:fd;1;7
2607:fe;1;7
2607:ff;2;7
2610:00;1;7
2610:01;2;7
2620:00;7;7
2620:01;3;7
2804:00;1;7
2804:04;1;7
2a00:0d;2;7
2a00:0e;2;7
2a00:0f;9;7
2a00:10;2;7
2a00:11;791;7
2a00:12;2;7
2a00:13;3;7
2a00:14;23;7
2a00:15;8;7
2a00:16;1;7
2a00:17;1;7
2a00:18;9;7
2a00:19;2;7
2a00:1a;5;7
2a00:1d;23;7
2a00:1e;3;7
2a00:20;1;7
2a00:4c;1;7
2a00:4e;1;7
2a00:50;1;7
2a00:57;1;7
2a00:5b;1;7
2a00:75;1;7
2a00:7a;9;7
2a00:7c;1;7
2a00:85;1;7
2a00:a0;2;7
2a00:b2;1;7
2a00:b5;5;7
2a00:b9;1;7
2a00:bd;1;7
2a00:c1;1;7
2a00:d0;17;7
2a00:d1;1;7
2a00:d3;1;7
2a00:de;2;7
2a00:f9;2;7
2a00:fa;2;7
2a01:00;3;7
2a01:01;12;7
2a01:02;90;7
2a01:03;21;7
2a01:04;1046;7
2a01:05;3;7
2a01:06;6;7
2a01:07;12;7
2a01:0e;16;7
2a01:4d;2;7
2a01:51;1;7
2a01:52;1;7
2a01:55;1;7
2a01:57;1;7
2a01:5b;1;7
2a01:66;1;7
2a01:77;1;7
2a01:7e;17;7
2a01:a5;2;7
2a01:b0;1;7
2a01:c9;1;7
2a02:01;4;7
2a02:02;5;7
2a02:03;3;7
2a02:04;2;7
2a02:05;3;7
2a02:06;1;7
2a02:07;7;7
2a02:08;1;7
2a02:09;1;7
2a02:0a;4;7
2a02:0b;1;7
2a02:0c;4;7
2a02:0d;5;7
2a02:0e;3;7
2a02:0f;3;7
2a02:10;2;7
2a02:16;2;7
2a02:20;5;7
2a02:22;1;7
2a02:24;1;7
2a02:26;16;7
2a02:27;1;7
2a02:29;2;7
2a02:2b;2;7
2a02:74;5;7
2a02:81;1;7
2a02:a8;1;7
2a02:c2;7;7
2a02:cb;1;7
2a02:d1;1;7
2a02:e9;2;7
2a03:0e;1;7
2a03:25;1;7
2a03:28;1;7
2a03:29;26;7
2a03:2a;16;7
2a03:36;1;7
2a03:3c;4;7
2a03:40;19;7
2a03:44;1;7
2a03:49;2;7
2a03:57;1;7
2a03:6f;9;7
2a03:81;7;7
2a03:97;1;7
2a03:98;1;7
2a03:b0;3;7
2a03:c9;2;7
2a03:e2;1;7
2a03:e5;1;7
2a04:06;1;7
2a04:48;1;7
2a04:76;1;7
2a04:cb;1;7
2a04:d1;1;7
2a05:0f;1;7
2a05:28;1;7
2a05:3e;1;7
2a05:8b;1;7
2a05:d5;22;7
2a06:1c;2;7
6c69:65;1;7
da1e:23;1;7
fe80:00;2;7
0000:000;21;8
2000:1a5;1;8
2001:000;1;8
2001:024;1;8
2001:02e;4;8
2001:041;2;8
2001:047;53;8
2001:04b;1;8
2001:04f;4;8
2001:050;1;8
2001:05e;1;8
2001:060;2;8
2001:063;11;8
2001:066;4;8
2001:067;25;8
2001:068;1;8
2001:069;1;8
2001:06b;1;8
2001:06c;1;8
2001:06f;6;8
2001:070;2;8
2001:072;3;8
2001:078;2;8
2001:07a;2;8
2001:07b;1;8
2001:07c;1;8
2001:081;1;8
2001:082;1;8
2001:084;2;8
2001:086;2;8
2001:088;1;8
2001:08b;3;8
2001:08d;2479;8
2001:091;1;8
2001:097;1;8
2001:098;1;8
2001:0a6;2;8
2001:0aa;1;8
2001:0ad;2;8
2001:0ba;1;8
2001:0bb;1;8
2001:0bc;13;8
2001:0bd;1;8
2001:0bf;4;8
2001:0dc;1;8
2001:0e4;4;8
2001:141;1;8
2001:142;1;8
2001:143;1;8
2001:14c;1;8
2001:152;2;8
2001:160;5;8
2001:164;13;8
2001:169;1;8
2001:16e;1;8
2001:186;2;8
2001:189;3;8
2001:190;3;8
2001:19d;2;8
2001:19f;2;8
2001:1a5;34;8
2001:1a8;1;8
2001:1ab;2;8
2001:1af;1;8
2001:1b3;1;8
2001:1b5;3;8
2001:1b6;4;8
2001:1b7;1;8
2001:1bc;3;8
2001:401;1;8
2001:406;2;8
2001:40b;7;8
2001:41c;5;8
2001:41d;129;8
2001:44b;1;8
2001:480;19;8
2001:481;1;8
2001:483;4;8
2001:4b1;1;8
2001:4b7;8;8
2001:4b8;1;8
2001:4b9;32;8
2001:4ba;10;8
2001:4c0;2;8
2001:4c7;1;8
2001:4c8;1;8
2001:4ca;5;8
2001:4cb;1;8
2001:4cc;2;8
2001:4ce;6;8
2001:4d4;2;8
2001:4d8;4;8
2001:4dc;1;8
2001:4dd;8;8
2001:b03;1;8
2002:000;2;8
2002:2e0;1;8
2002:511;1;8
2002:52a;1;8
2002:55d;2;8
2002:5fd;1;8
2002:c3d;1;8
2002:d45;1;8
2003:000;2;8
2003:004;1;8
2003:005;1;8
2400:890;7;8
2400:cb0;381;8
2401:250;1;8
2403:140;2;8
2403:3a0;6;8
2403:d00;1;8
2404:680;1;8
2404:940;1;8
2405:420;1;8
2406:da0;5;8
2407:e70;1;8
2409:001;1;8
2409:808;1;8
2600:0c0;1;8
2600:200;1;8
2600:300;1;8
2600:3c0;32;8
2602:ffe;1;8
2604:018;1;8
2604:0a0;1;8
2604:340;3;8
2604:430;1;8
2604:580;1;8
2604:7c0;6;8
2604:880;1;8
2604:9a0;5;8
2604:a88;8;8
2605:628;1;8
2605:800;1;8
2605:960;1;8
2605:d40;1;8
2605:f70;1;8
2607:1a0;1;8
2607:1b0;5;8
2607:4d0;1;8
2607:530;7;8
2607:560;1;8
2607:71c;1;8
2607:f0b;1;8
2607:f0d;6;8
2607:f1c;188;8
2607:f20;1;8
2607:f22;1;8
2607:f25;1;8
2607:f29;27;8
2607:f2d;1;8
2607:f2f;1;8
2607:f3e;2;8
2607:f5a;1;8
2607:f74;2;8
2607:fa1;1;8
2607:fc1;1;8
2607:fc5;2;8
2607:fd9;1;8
2607:feb;1;8
2607:ff3;2;8
2610:008;1;8
2610:010;1;8
2610:012;1;8
2620:000;2;8
2620:003;1;8
2620:006;1;8
2620:007;2;8
2620:008;1;8
2620:010;3;8
2804:001;1;8
2804:049;1;8
2a00:0d0;1;8
2a00:0d1;1;8
2a00:0e6;1;8
2a00:0ea;1;8
2a00:0f1;4;8
2a00:0f4;3;8
2a00:0f8;2;8
2a00:103;1;8
2a00:109;1;8
2a00:110;2;8
2a00:115;789;8
2a00:120;1;8
2a00:12c;1;8
2a00:132;1;8
2a00:139;2;8
2a00:145;18;8
2a00:147;3;8
2a00:14b;2;8
2a00:15f;8;8
2a00:16d;1;8
2a00:176;1;8
2a00:182;7;8
2a00:18e;2;8
2a00:191;1;8
2a00:19e;1;8
2a00:1a3;2;8
2a00:1a4;2;8
2a00:1a9;1;8
2a00:1d0;1;8
2a00:1d4;1;8
2a00:1d7;21;8
2a00:1ed;2;8
2a00:1ee;1;8
2a00:200;1;8
2a00:4c4;1;8
2a00:4e0;1;8
2a00:508;1;8
2a00:572;1;8
2a00:5ba;1;8
2a00:758;1;8
2a00:7a6;9;8
2a00:7c8;1;8
2a00:85c;1;8
2a00:a00;2;8
2a00:b26;1;8
2a00:b58;5;8
2a00:b9c;1;8
2a00:bdc;1;8
2a00:c1e;1;8
2a00:d0c;17;8
2a00:d1e;1;8
2a00:d30;1;8
2a00:de4;2;8
2a00:f94;2;8
2a00:fa4;2;8
2a01:003;1;8
2a01:004;1;8
2a01:00c;1;8
2a01:011;3;8
2a01:013;3;8
2a01:019;3;8
2a01:01b;2;8
2a01:01e;1;8
2a01:023;87;8
2a01:024;1;8
2a01:026;2;8
2a01:030;1;8
2a01:034;2;8
2a01:036;1;8
2a01:03b;17;8
2a01:048;882;8
2a01:04a;6;8
2a01:04d;1;8
2a01:04f;157;8
2a01:057;2;8
2a01:05c;1;8
2a01:061;1;8
2a01:064;4;8
2a01:068;1;8
2a01:072;1;8
2a01:07a;1;8
2a01:07c;9;8
2a01:07e;1;8
2a01:0e0;3;8
2a01:0e3;13;8
2a01:4dc;2;8
2a01:51c;1;8
2a01:520;1;8
2a01:558;1;8
2a01:574;1;8
2a01:5b4;1;8
2a01:660;1;8
2a01:770;1;8
2a01:7e0;17;8
2a01:a58;2;8
2a01:b00;1;8
2a01:c9c;1;8
2a02:010;1;8
2a02:018;3;8
2a02:024;2;8
2a02:029;1;8
2a02:02e;2;8
2a02:034;2;8
2a02:03e;1;8
2a02:04a;1;8
2a02:04e;1;8
2a02:05a;2;8
2a02:05d;1;8
2a02:06d;1;8
2a02:078;1;8
2a02:079;6;8
2a02:086;1;8
2a02:090;1;8
2a02:0a0;1;8
2a02:0a6;1;8
2a02:0ad;1;8
2a02:0af;1;8
2a02:0b3;1;8
2a02:0c9;1;8
2a02:0cc;2;8
2a02:0cd;1;8
2a02:0d0;1;8
2a02:0d4;4;8
2a02:0e0;2;8
2a02:0ed;1;8
2a02:0f2;1;8
2a02:0f9;2;8
2a02:100;2;8
2a02:162;1;8
2a02:166;1;8
2a02:202;5;8
2a02:22f;1;8
2a02:24f;1;8
2a02:26f;16;8
2a02:27d;1;8
2a02:297;1;8
2a02:29e;1;8
2a02:2b8;2;8
2a02:74a;5;8
2a02:810;1;8
2a02:a81;1;8
2a02:c20;7;8
2a02:cb4;1;8
2a02:d18;1;8
2a02:e98;2;8
2a03:0e4;1;8
2a03:250;1;8
2a03:288;1;8
2a03:290;26;8
2a03:2a0;16;8
2a03:368;1;8
2a03:3c0;4;8
2a03:400;18;8
2a03:408;1;8
2a03:44a;1;8
2a03:490;2;8
2a03:57e;1;8
2a03:6f0;9;8
2a03:818;7;8
2a03:970;1;8
2a03:980;1;8
2a03:b0c;3;8
2a03:c98;2;8
2a03:e28;1;8
2a03:e58;1;8
2a04:06c;1;8
2a04:488;1;8
2a04:768;1;8
2a04:cb4;1;8
2a04:d14;1;8
2a05:0f0;1;8
2a05:288;1;8
2a05:3e0;1;8
2a05:8b8;1;8
2a05:d58;22;8
2a06:1c4;2;8
6c69:652;1;8
da1e:235;1;8
fe80:000;2;8
0000:0000;21;9
2000:1a50;1;9
2001:0000;1;9
2001:0240;1;9
2001:02e8;4;9
2001:0418;2;9
2001:0470;53;9
2001:04b0;1;9
2001:04f8;4;9
2001:0500;1;9
2001:05e8;1;9
2001:0608;2;9
2001:0630;1;9
2001:0638;10;9
2001:0660;4;9
2001:067c;25;9
2001:0680;1;9
2001:0690;1;9
2001:06b0;1;9
2001:06c8;1;9
2001:06f8;6;9
2001:0700;2;9
2001:0720;3;9
2001:0780;2;9
2001:07a8;2;9
2001:07b8;1;9
2001:07c0;1;9
2001:0810;1;9
2001:0828;1;9
2001:0840;2;9
2001:0868;2;9
2001:0888;1;9
2001:08b0;3;9
2001:08d8;2479;9
2001:0910;1;9
2001:0978;1;9
2001:0981;1;9
2001:0a60;2;9
2001:0aa8;1;9
2001:0ad8;2;9
2001:0ba8;1;9
2001:0bb0;1;9
2001:0bc8;13;9
2001:0bd0;1;9
2001:0bf0;4;9
2001:0dc0;1;9
2001:0e42;4;9
2001:1418;1;9
2001:1420;1;9
2001:1430;1;9
2001:14c0;1;9
2001:1528;2;9
2001:1600;1;9
2001:1608;4;9
2001:1640;13;9
2001:1690;1;9
2001:16e0;1;9
2001:1868;2;9
2001:1890;3;9
2001:1900;3;9
2001:19d0;1;9
2001:19d8;1;9
2001:19f0;2;9
2001:1a50;34;9
